MC, RTCL, nonRTCL, n_RT, n_nonRT, SCL, Status, Preempted
0.0, 3.0, 5.0, 0, 0, 4.0, 2, 0.0
3.0, 22.26, 5.0, 0, 1, 6.85, 1, 1.0
5.0, 22.26, 8.94, 0, 2, 6.85, 1, 1.0
6.85, 22.26, 8.94, 0, 1, 7.85, 2, 0.0
7.85, 22.26, 8.94, 0, 0, 9.25, 2, 0.0
8.94, 22.26, 10.5, 0, 1, 9.25, 2, 0.0
9.25, 22.26, 10.5, 0, 0, 12.59, 2, 0.0
10.5, 22.26, 11.61, 0, 1, 12.59, 2, 0.0
11.61, 22.26, 14.76, 0, 2, 12.59, 2, 0.0
12.59, 22.26, 14.76, 0, 1, 22.69, 2, 0.0
14.76, 22.26, 18.69, 0, 2, 22.69, 2, 0.0
18.69, 22.26, 33.88, 0, 3, 22.69, 2, 0.0
22.26, 22.96, 33.88, 0, 4, 22.4, 1, 0.42
22.4, 22.96, 33.88, 0, 3, 22.83, 2, 0.0
22.83, 22.96, 33.88, 0, 2, 27.2, 2, 0.0
22.96, 34.69, 33.88, 0, 3, 25.3, 1, 4.24
25.3, 34.69, 33.88, 0, 2, 29.54, 2, 0.0
29.54, 34.69, 33.88, 0, 1, 35.9, 2, 0.0
33.88, 34.69, 42.5, 0, 2, 35.9, 2, 0.0
34.69, 51.37, 42.5, 0, 3, 38.03, 1, 1.21
38.03, 51.37, 42.5, 0, 2, 39.24, 2, 0.0
39.24, 51.37, 42.5, 0, 1, 41.11, 2, 0.0
41.11, 51.37, 42.5, 0, 0, 41.26, 2, 0.0
42.5, 51.37, 50.28, 0, 0, 48.73, 2, 0.0
50.28, 51.37, 50.51, 0, 0, 50.46, 2, 0.0
50.51, 51.37, 53.45, 0, 0, 52.86, 2, 0.0
51.37, 52.41, 53.45, 0, 1, 51.58, 1, 1.49
51.58, 52.41, 53.45, 0, 0, 53.07, 2, 0.0
52.41, 70.71, 53.45, 0, 1, 56.07, 1, 0.66
53.45, 70.71, 55.61, 0, 2, 56.07, 1, 0.66
55.61, 70.71, 66.05, 0, 3, 56.07, 1, 0.66
56.07, 70.71, 66.05, 0, 2, 56.73, 2, 0.0
56.73, 70.71, 66.05, 0, 1, 60.44, 2, 0.0
60.44, 70.71, 66.05, 0, 0, 61.47, 2, 0.0
66.05, 70.71, 68.89, 0, 0, 68.32, 2, 0.0
68.89, 70.71, 77.13, 0, 0, 75.48, 2, 0.0
70.71, 72.44, 77.13, 0, 1, 71.06, 1, 4.77
71.06, 72.44, 77.13, 0, 0, 75.82, 2, 0.0
72.44, 86.83, 77.13, 0, 1, 75.32, 1, 3.38
75.32, 86.83, 77.13, 0, 0, 78.7, 2, 0.0
77.13, 86.83, 79.37, 0, 1, 78.7, 2, 0.0
78.7, 86.83, 79.37, 0, 0, 79.11, 2, 0.0
79.37, 86.83, 89.71, 0, 0, 87.64, 2, 0.0
86.83, 92.73, 89.71, 0, 1, 88.01, 1, 0.81
88.01, 92.73, 89.71, 0, 0, 88.82, 2, 0.0
89.71, 92.73, 92.19, 0, 0, 91.69, 2, 0.0
92.19, 92.73, 93.85, 0, 0, 93.51, 2, 0.0
92.73, 95.28, 93.85, 0, 1, 93.24, 1, 0.78
93.24, 95.28, 93.85, 0, 0, 94.02, 2, 0.0
93.85, 95.28, 100.04, 0, 1, 94.02, 2, 0.0
94.02, 95.28, 100.04, 0, 0, 96.13, 2, 0.0
95.28, 101.67, 100.04, 0, 1, 96.56, 1, 0.85
96.56, 101.67, 100.04, 0, 0, 97.41, 2, 0.0
100.04, 101.67, 100.83, 0, 0, 100.67, 2, 0.0
100.83, 101.67, 105.89, 0, 0, 104.88, 2, 0.0
101.67, 108.93, 105.89, 0, 1, 103.12, 1, 3.21
103.12, 108.93, 105.89, 0, 0, 106.33, 2, 0.0
105.89, 108.93, 106.92, 0, 1, 106.33, 2, 0.0
106.33, 108.93, 106.92, 0, 0, 106.8, 2, 0.0
106.92, 108.93, 109.07, 0, 0, 108.64, 2, 0.0
108.93, 122.7, 109.07, 0, 0, 111.69, 1, 0.0
109.07, 122.7, 109.89, 0, 1, 111.69, 1, 0.0
109.89, 122.7, 110.37, 0, 2, 111.69, 1, 0.0
110.37, 122.7, 112.05, 0, 3, 111.69, 1, 0.0
111.69, 122.7, 112.05, 0, 2, 112.75, 2, 0.0
112.05, 122.7, 115.38, 0, 3, 112.75, 2, 0.0
112.75, 122.7, 115.38, 0, 2, 115.57, 2, 0.0
115.38, 122.7, 118.08, 0, 3, 115.57, 2, 0.0
115.57, 122.7, 118.08, 0, 2, 123.24, 2, 0.0
118.08, 122.7, 120.04, 0, 3, 123.24, 2, 0.0
120.04, 122.7, 120.79, 0, 4, 123.24, 2, 0.0
120.79, 122.7, 129.8, 0, 5, 123.24, 2, 0.0
122.7, 125.52, 129.8, 0, 6, 123.26, 1, 0.54
123.26, 125.52, 129.8, 0, 5, 123.8, 2, 0.0
123.8, 125.52, 129.8, 0, 4, 132.25, 2, 0.0
125.52, 155.33, 129.8, 0, 5, 131.48, 1, 6.73
129.8, 155.33, 132.4, 0, 6, 131.48, 1, 6.73
131.48, 155.33, 132.4, 0, 5, 138.21, 2, 0.0
132.4, 155.33, 138.25, 0, 6, 138.21, 2, 0.0
138.21, 155.33, 138.25, 0, 5, 140.12, 2, 0.0
138.25, 155.33, 140.4, 0, 6, 140.12, 2, 0.0
140.12, 155.33, 140.4, 0, 5, 141.27, 2, 0.0
140.4, 155.33, 143.23, 0, 6, 141.27, 2, 0.0
141.27, 155.33, 143.23, 0, 5, 145.66, 2, 0.0
143.23, 155.33, 165.13, 0, 6, 145.66, 2, 0.0
145.66, 155.33, 165.13, 0, 5, 154.35, 2, 0.0
154.35, 155.33, 165.13, 0, 4, 160.93, 2, 0.0
155.33, 161.77, 165.13, 0, 5, 156.62, 1, 5.6
156.62, 161.77, 165.13, 0, 4, 162.22, 2, 0.0
161.77, 177.42, 165.13, 0, 5, 164.9, 1, 0.45
164.9, 177.42, 165.13, 0, 4, 165.35, 2, 0.0
165.13, 177.42, 165.46, 0, 5, 165.35, 2, 0.0
165.35, 177.42, 165.46, 0, 4, 169.01, 2, 0.0
165.46, 177.42, 167.15, 0, 5, 169.01, 2, 0.0
167.15, 177.42, 169.55, 0, 6, 169.01, 2, 0.0
169.01, 177.42, 169.55, 0, 5, 170.67, 2, 0.0
169.55, 177.42, 173.25, 0, 6, 170.67, 2, 0.0
170.67, 177.42, 173.25, 0, 5, 173.1, 2, 0.0
173.1, 177.42, 173.25, 0, 4, 174.52, 2, 0.0
173.25, 177.42, 182.38, 0, 5, 174.52, 2, 0.0
174.52, 177.42, 182.38, 0, 4, 175.42, 2, 0.0
175.42, 177.42, 182.38, 0, 3, 175.96, 2, 0.0
175.96, 177.42, 182.38, 0, 2, 188.19, 2, 0.0
177.42, 193.61, 182.38, 0, 3, 180.66, 1, 10.77
180.66, 193.61, 182.38, 0, 2, 191.42, 2, 0.0
182.38, 193.61, 194.18, 0, 3, 191.42, 2, 0.0
191.42, 193.61, 194.18, 0, 2, 199.29, 2, 0.0
193.61, 198.05, 194.18, 0, 3, 194.5, 1, 5.68
194.18, 198.05, 204.66, 0, 4, 194.5, 1, 5.68
194.5, 198.05, 204.66, 0, 3, 200.18, 2, 0.0
198.05, 198.61, 204.66, 0, 4, 198.16, 1, 2.13
198.16, 198.61, 204.66, 0, 3, 200.29, 2, 0.0
198.61, 204.76, 204.66, 0, 4, 199.84, 1, 1.68
199.84, 204.76, 204.66, 0, 3, 201.52, 2, 0.0
201.52, 204.76, 204.66, 0, 2, 205.79, 2, 0.0
